C_NI_12_00,CKNI_12_00,C_NI_12_15,CKNI_12_15,CBODD_12_15,CKND_12_15,CNOD_12_15,CBODN_12_15,CKNN_12_15,CNON_12_15,C_NI_12_30,CKNI_12_30,CBODD_12_30,CKND_12_30,CNOD_12_30,CBODN_12_30,CKNN_12_30,CNON_12_30,C_NI_12_45,CKNI_12_45,CBODD_12_45,CKND_12_45,CNOD_12_45,CBODN_12_45,CKNN_12_45,CNON_12_45
3,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
4,40_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,6_MG_L
3,20_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,30_MG_L,5,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,15_MG_L,1_MG_L,4_MG_L,4,20_MG_L,20_MG_L,6_MG_L,0_5_MG_L,15_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,6_MG_L,0_5_MG_L,15_MG_L,0_5_MG_L,4_MG_L
5,20_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,6_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L
6,40_MG_L,6,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,0_5_MG_L,15_MG_L,0_5_MG_L,4_MG_L
3,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
6,30_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,20_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
6,30_MG_L,5,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,40_MG_L,4,40_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,25_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L
6,30_MG_L,6,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,40_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,15_MG_L,1_MG_L,4_MG_L
4,40_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,6_MG_L,5,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,6_MG_L,5,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,6_MG_L
6,40_MG_L,6,40_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,20_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,6,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
6,30_MG_L,5,40_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
6,40_MG_L,6,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,6_MG_L,4,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L,5,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L
5,30_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,6_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,6_MG_L,4,40_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L
3,30_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L
6,20_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,20_MG_L,20_MG_L,6_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,20_MG_L,15_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
4,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,6_MG_L,4,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L,4,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L
5,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
3,20_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,40_MG_L,5,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,25_MG_L,6_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
5,40_MG_L,4,40_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,40_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,3,40_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
4,20_MG_L,4,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
4,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,20_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,30_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
6,20_MG_L,6,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,6,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,6,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,40_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,40_MG_L,6,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,30_MG_L,30_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,40_MG_L,30_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L
3,30_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,6_MG_L,5,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,6_MG_L,5,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,6_MG_L
3,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
4,30_MG_L,3,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,20_MG_L,3,20_MG_L,15_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,20_MG_L,15_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,15_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
4,40_MG_L,3,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,6_MG_L,3,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,6_MG_L
6,20_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,20_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,30_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,6_MG_L,6,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,6_MG_L
4,40_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
4,30_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,20_MG_L,4,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,40_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,20_MG_L,20_MG_L,6_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,30_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,40_MG_L,6,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
4,30_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
3,40_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
3,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,6_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,6_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,6_MG_L
6,30_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,6_MG_L,6,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L
3,20_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,20_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,30_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
4,20_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,30_MG_L,5,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,30_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
6,20_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L,6,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,6_MG_L
3,40_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
4,40_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
3,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,40_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,40_MG_L,3,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,20_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,6_MG_L
6,20_MG_L,6,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,20_MG_L,4,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
4,20_MG_L,5,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
6,40_MG_L,6,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,25_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,6,40_MG_L,25_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
4,20_MG_L,3,20_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,40_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
3,40_MG_L,3,40_MG_L,20_MG_L,6_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,6_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,6_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L
5,40_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L
3,20_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,30_MG_L,15_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,30_MG_L,15_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
3,20_MG_L,4,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,15_MG_L,0_5_MG_L,4_MG_L
5,20_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,0_5_MG_L,4_MG_L
5,20_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
3,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,6_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
5,40_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,4,40_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L,5,30_MG_L,20_MG_L,4_MG_L,1_MG_L,10_MG_L,1_MG_L,4_MG_L
3,30_MG_L,3,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,4,30_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L,3,20_MG_L,20_MG_L,4_MG_L,0_5_MG_L,10_MG_L,1_MG_L,4_MG_L
